"good.names","SporeName","SporeDim1_min","SporeDim1_max","SporeDim2_min","SporeDim2_max","Phylum","EquatorialAxis","PolarAxis","SporeVolume","Dimension_units","Volume_units","Source"
"Fusarium poae","macroconidia",18,38,3.8,7,"Ascomycota",5.4,28,427.507928300499,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium poae","conidia",6,10,5.5,7.7,"Ascomycota",6.6,8,182.463701320495,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium proliferatum","macroconidia",27,58,3.3,4.5,"Ascomycota",3.9,42.5,338.46733851613,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium proliferatum","microconidia",7,9,2.2,3.2,"Ascomycota",2.7,8,30.5362805928928,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium redolens","macroconidia",25,38,4,5.5,"Ascomycota",4.75,31.5,372.131467294753,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium redolens","conidia",7.5,15,2.5,4.2,"Ascomycota",3.35,11.25,66.105981665459,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium sacchari","conidia",7,11,2.5,3,"Ascomycota",2.75,9,35.6374416641592,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium sambucinum var. sambucinum","conidia",30,45,4,5.5,"Ascomycota",4.75,37.5,443.013651541373,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium solani","macroconidia",28,42,4,6,"Ascomycota",5,35,458.148928648512,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium solani","conidia",8,16,2,4,"Ascomycota",3,12,56.5486677646163,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium sporotriochiodes var. sporotrichiodes","macroconidia",29,46,3.7,5.3,"Ascomycota",4.5,37.5,397.607820219958,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium sporotriochiodes var. sporotrichiodes","conidia",6,11,3,4,"Ascomycota",3.5,8.5,54.5197225091729,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium subglutinans","macroconidia",27,54,3.5,4.5,"Ascomycota",4,40.5,339.292006587698,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium subglutinans","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium tricinctum","macroconidia",24,50,3.2,4.5,"Ascomycota",3.85,37,287.158585498314,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium tricinctum","conidia",8,11,4.5,7.5,"Ascomycota",6,9.5,179.070781254618,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium ventricosum","conidia",24,48,5,8,"Ascomycota",6.5,36,796.393737685013,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
